Year,Debt_to_GDP_Pct,Total_Debt_NS_Billion,Domestic_Debt_Pct,Foreign_Debt_Pct,Interest_Payments_NS_Billion,Fiscal_Deficit_Pct,SADC_Benchmark_Pct,Source
2020,62.8,96.5,88,12,8.2,8.1,60,Ministry of Finance / IMF
2021,65.1,115.3,88,12,9.5,5.3,60,Ministry of Finance / IMF
2022,66.3,132.8,88,12,10.8,4.7,60,Ministry of Finance / IMF
2023,65.9,148.2,88,12,12.1,5.2,60,Ministry of Finance / IMF
2024,67.1,162.5,88,12,13.2,5.8,60,Ministry of Finance / IMF
2025,66.1,168,88,12,13.8,5.5,60,Ministry of Finance / IMF
2026,65.2,174.5,88,12,14.3,5.5,60,Ministry of Finance / IMF
2027,67.1,185,88,12,15,5,60,IMF Projection
2028,67.9,195,88,12,15.8,4.5,60,IMF Projection
2029,68.6,205,88,12,16.5,4,60,IMF Projection
