KPI_Name,Current_Value,Unit,Period,Trend,Source
Inflation Rate,4,%,2026 Forecast,Up,Bank of Namibia
Repo Rate,6.25,%,Current,Stable,Bank of Namibia
Unemployment (Strict),36.9,%,2023,Up,NSA
Unemployment (Broad),54.8,%,2023,Up,NSA
Debt-to-GDP,65.2,%,FY2025/26,Down,Ministry of Finance
Total Debt,174.5,N$ Billion,FY2025/26,Up,Ministry of Finance
Trade Balance,-3100,N$ Million,May-26,Improving,NSA
Trade Exports,12400,N$ Million,May-26,Up,NSA
Trade Imports,15500,N$ Million,May-26,Up,NSA
Renewable Share,21,%,Current,Up,NamPower
Import Dependency,60,%,Current,High,NamPower
Green FDI Committed,37.4,N$ Billion,To Date,Up,NGH2P
Green Hydrogen Jobs,800,Jobs,To Date,Up,NGH2P
Investment Needed 2040,190,USD Billion,2040 Target,Massive,NGH2P
