date,value
2024,14.1844922069439
2023,18.3227426104295
2022,8.40166893779959
2021,6.77514897706551
2020,-1.41889955275348
2019,-1.40710628631611
2018,1.71299808328534
2017,2.17505730200543
2016,3.34570437311555
2015,7.40068055968424
2014,3.58316691192793
2013,6.45232765797467
2012,7.98613044962652
2011,6.41681322346953
2010,2.51525326747705
2009,9.27473594549885
2008,8.71835372051848
2007,7.57033929521728
2006,7.62577614409133
2005,5.37845791807398
2004,3.38257441805413
2003,1.32166219939022
2002,4.40514414376661
2001,10.6634799262844
2000,5.00609742133938
