date,value
2025,4875.92558158247
2024,4501.84849548225
2023,4225.99102418102
2022,4349.79908493314
2021,4412.8355693052
2020,3878.58982993966
2019,4731.9210318831
2018,5308.60813408705
2017,5143.96072323076
2016,4395.68776162376
2015,4774.10650865775
2014,5378.32326241205
2013,5346.62131149967
2012,5942.64680978673
2011,5834.7917675794
2010,5418.21633365814
2009,4302.91374148376
2008,4204.78555422749
2007,4379.04313682732
2006,4017.1834716928
2005,3685.77299991587
2004,3403.15496192955
2003,2569.24739317883
2002,1772.07565537493
2001,1915.58926594875
2000,2156.67590512714
