date,value
2025,3.51074539609587
2024,4.23903922877036
2023,5.87993463284275
2022,6.08128114112413
2021,3.61690530108814
2020,2.20938236933469
2019,3.72239414422695
2018,4.29159105337875
2017,6.14579981111164
2016,6.72858234593338
2015,3.39401538410559
2014,5.35016966859602
2013,5.60092502290401
2012,6.72199777334886
2011,5.005595180812
2010,4.8749198764395
2009,9.45172651521705
2008,9.0946430719281
2007,6.54788141101717
2006,4.96116689298916
2005,2.28194607024307
2004,4.13663213144748
2003,7.1361531145863
