date,value
2025,108.580501173828
2024,108.00119146619
2023,109.8175996703
2022,99.2625547814064
2021,83.5443030923624
2020,76.9252424036465
2019,82.9011507426355
2018,81.7138652963804
2017,81.2196661011436
2016,93.966187960162
2015,97.2390317873478
2014,103.080137009254
2013,97.7249042303832
2012,100.2134087743
2011,102.189147754138
2010,108.072477173606
2009,123.762844292976
2008,119.644498184785
2007,104.979303758915
2006,86.8339693259998
2005,80.6803802939816
2004,81.8622605916543
2003,95.9524743817213
2002,94.4152228948906
2001,88.5841018380245
2000,85.1322442947268
