date,value
20000101,0.0
20000102,0.0
20000103,0.3
20000104,1.68
20000105,5.92
20000106,1.37
20000107,0.76
20000108,0.2
20000109,0.24
20000110,0.2
20000111,2.61
20000112,2.75
20000113,4.06
20000114,0.87
20000115,0.07
20000116,0.01
20000117,0.0
20000118,0.61
20000119,1.66
20000120,0.96
20000121,4.95
20000122,4.63
20000123,1.63
20000124,6.03
20000125,1.82
20000126,0.37
20000127,0.01
20000128,0.0
20000129,0.0
20000130,0.0
20000131,0.0
20000201,0.0
20000202,0.0
20000203,0.04
20000204,0.3
20000205,3.87
20000206,1.88
20000207,0.1
20000208,0.06
20000209,0.0
20000210,0.25
20000211,0.51
20000212,1.97
20000213,8.64
20000214,12.59
20000215,12.03
20000216,2.73
20000217,28.61
20000218,2.43
20000219,3.01
20000220,9.95
20000221,7.63
20000222,2.9
20000223,1.03
20000224,1.56
20000225,0.21
20000226,1.44
20000227,23.73
20000228,8.77
20000229,4.1
20000301,4.42
20000302,0.0
20000303,1.5
20000304,3.07
20000305,1.6
20000306,2.41
20000307,0.05
20000308,0.0
20000309,0.0
20000310,0.0
20000311,0.01
20000312,1.09
20000313,0.6
20000314,0.02
20000315,0.68
20000316,0.56
20000317,0.0
20000318,0.0
20000319,0.19
20000320,5.24
20000321,0.54
20000322,25.08
20000323,6.7
20000324,12.54
20000325,4.71
20000326,3.2
20000327,5.37
20000328,5.12
20000329,1.28
20000330,0.22
20000331,0.84
20000401,1.53
20000402,2.74
20000403,2.28
20000404,0.27
20000405,0.0
20000406,0.0
20000407,0.0
20000408,0.0
20000409,0.0
20000410,0.0
20000411,1.83
20000412,0.13
20000413,0.03
20000414,2.16
20000415,0.99
20000416,0.69
20000417,2.67
20000418,4.82
20000419,5.48
20000420,3.88
20000421,0.0
20000422,0.0
20000423,0.0
20000424,0.0
20000425,0.0
20000426,0.0
20000427,0.0
20000428,0.63
20000429,1.42
20000430,1.68
20000501,3.55
20000502,2.06
20000503,0.0
20000504,0.0
20000505,0.0
20000506,0.17
20000507,3.17
20000508,2.04
20000509,0.0
20000510,0.0
20000511,0.0
20000512,0.0
20000513,0.27
20000514,2.48
20000515,0.05
20000516,0.0
20000517,0.0
20000518,0.0
20000519,0.0
20000520,0.0
20000521,0.0
20000522,0.0
20000523,0.0
20000524,0.0
20000525,0.0
20000526,0.0
20000527,0.0
20000528,0.0
20000529,0.0
20000530,0.0
20000531,0.0
20000601,0.0
20000602,0.0
20000603,0.0
20000604,0.0
20000605,0.0
20000606,0.0
20000607,0.01
20000608,0.0
20000609,0.0
20000610,0.0
20000611,0.0
20000612,0.0
20000613,0.0
20000614,0.0
20000615,0.0
20000616,0.0
20000617,0.0
20000618,0.0
20000619,0.0
20000620,0.0
20000621,0.0
20000622,0.0
20000623,0.0
20000624,0.0
20000625,0.0
20000626,0.0
20000627,0.0
20000628,0.0
20000629,0.0
20000630,0.0
20000701,0.0
20000702,0.0
20000703,0.0
20000704,0.0
20000705,0.0
20000706,0.0
20000707,0.0
20000708,0.0
20000709,0.0
20000710,0.0
20000711,0.0
20000712,0.0
20000713,0.0
20000714,0.0
20000715,0.0
20000716,0.0
20000717,0.0
20000718,0.0
20000719,0.0
20000720,0.0
20000721,0.0
20000722,0.0
20000723,0.0
20000724,0.0
20000725,0.0
20000726,0.0
20000727,0.0
20000728,0.0
20000729,0.0
20000730,0.0
