Year,FDI_Net_Inflows_USD_Million,Source
2001,379.34,World Bank API
2002,147.54,World Bank API
2003,65.11,World Bank API
2004,223.56,World Bank API
2005,389.85,World Bank API
2006,610.2,World Bank API
2007,669.18,World Bank API
2008,750.43,World Bank API
2009,829.05,World Bank API
2010,287.53,World Bank API
2011,803.6,World Bank API
2012,1041.56,World Bank API
2013,777.07,World Bank API
2014,445.58,World Bank API
2015,838.88,World Bank API
2016,358.73,World Bank API
2017,280.48,World Bank API
2018,234.37,World Bank API
2019,-176.48,World Bank API
2020,-150.17,World Bank API
2021,840.29,World Bank API
2022,1056.04,World Bank API
2023,2294.38,World Bank API
2024,1934.93,World Bank API
