Year,GDP_Growth_Pct,Source
2001,1.18,World Bank API
2002,4.79,World Bank API
2003,4.24,World Bank API
2004,12.27,World Bank API
2005,2.53,World Bank API
2006,7.07,World Bank API
2007,5.37,World Bank API
2008,2.65,World Bank API
2009,0.3,World Bank API
2010,6.04,World Bank API
2011,5.09,World Bank API
2012,5.06,World Bank API
2013,5.61,World Bank API
2014,6.09,World Bank API
2015,4.26,World Bank API
2016,0.03,World Bank API
2017,-1.03,World Bank API
2018,1.06,World Bank API
2019,-0.84,World Bank API
2020,-8.1,World Bank API
2021,3.6,World Bank API
2022,5.4,World Bank API
2023,4.32,World Bank API
2024,3.78,World Bank API
2025,1.73,World Bank API
