Year,Unemployment_Pct,Source
2001,21.01,World Bank API (ILO model)
2002,21.54,World Bank API (ILO model)
2003,22.1,World Bank API (ILO model)
2004,22.09,World Bank API (ILO model)
2005,22.11,World Bank API (ILO model)
2006,21.85,World Bank API (ILO model)
2007,22.12,World Bank API (ILO model)
2008,22.0,World Bank API (ILO model)
2009,22.27,World Bank API (ILO model)
2010,22.12,World Bank API (ILO model)
2011,19.48,World Bank API (ILO model)
2012,16.77,World Bank API (ILO model)
2013,19.03,World Bank API (ILO model)
2014,18.52,World Bank API (ILO model)
2015,20.79,World Bank API (ILO model)
2016,23.35,World Bank API (ILO model)
2017,21.75,World Bank API (ILO model)
2018,19.88,World Bank API (ILO model)
2019,19.93,World Bank API (ILO model)
2020,21.0,World Bank API (ILO model)
2021,20.93,World Bank API (ILO model)
2022,19.61,World Bank API (ILO model)
2023,19.15,World Bank API (ILO model)
2024,19.16,World Bank API (ILO model)
2025,19.29,World Bank API (ILO model)
