date,indicator,value,source,category,year,month,quarter
2000-01-01,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-01,FDI,5.00609742133938,World Bank,Finance,2000,1,1
2000-01-01,GDP_GROWTH,3.49218336365178,World Bank,Economy,2000,1,1
2000-01-01,GDP_PER_CAPITA,2156.67590512714,World Bank,Economy,2000,1,1
2000-01-01,POPULATION,1818647.0,World Bank,Economy,2000,1,1
2000-01-01,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-01,TEMPERATURE,20.67,NASA,Climate,2000,1,1
2000-01-01,TRADE_GDP,85.1322442947268,World Bank,Trade,2000,1,1
2000-01-01,UNEMPLOYMENT_WB,20.3,World Bank,Labour,2000,1,1
2000-01-02,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-02,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-02,TEMPERATURE,20.71,NASA,Climate,2000,1,1
2000-01-03,DROUGHT_SCORE,-0.2331457394320737,Derived,Climate,2000,1,1
2000-01-03,RAINFALL,0.3,NASA,Climate,2000,1,1
2000-01-03,TEMPERATURE,24.45,NASA,Climate,2000,1,1
2000-01-04,DROUGHT_SCORE,0.0892611068191872,Derived,Climate,2000,1,1
2000-01-04,RAINFALL,1.68,NASA,Climate,2000,1,1
2000-01-04,TEMPERATURE,24.88,NASA,Climate,2000,1,1
2000-01-05,DROUGHT_SCORE,1.079844460518714,Derived,Climate,2000,1,1
2000-01-05,RAINFALL,5.92,NASA,Climate,2000,1,1
2000-01-05,TEMPERATURE,21.87,NASA,Climate,2000,1,1
2000-01-06,DROUGHT_SCORE,0.0168363804873822,Derived,Climate,2000,1,1
2000-01-06,RAINFALL,1.37,NASA,Climate,2000,1,1
2000-01-06,TEMPERATURE,20.71,NASA,Climate,2000,1,1
2000-01-07,DROUGHT_SCORE,-0.1256767906816534,Derived,Climate,2000,1,1
2000-01-07,RAINFALL,0.76,NASA,Climate,2000,1,1
2000-01-07,TEMPERATURE,21.89,NASA,Climate,2000,1,1
2000-01-08,DROUGHT_SCORE,-0.2565085543778173,Derived,Climate,2000,1,1
2000-01-08,RAINFALL,0.2,NASA,Climate,2000,1,1
2000-01-08,TEMPERATURE,22.69,NASA,Climate,2000,1,1
2000-01-09,DROUGHT_SCORE,-0.2471634283995199,Derived,Climate,2000,1,1
2000-01-09,RAINFALL,0.24,NASA,Climate,2000,1,1
2000-01-09,TEMPERATURE,23.19,NASA,Climate,2000,1,1
2000-01-10,DROUGHT_SCORE,-0.2565085543778173,Derived,Climate,2000,1,1
2000-01-10,RAINFALL,0.2,NASA,Climate,2000,1,1
2000-01-10,TEMPERATURE,23.08,NASA,Climate,2000,1,1
2000-01-11,DROUGHT_SCORE,0.3065352858146022,Derived,Climate,2000,1,1
2000-01-11,RAINFALL,2.61,NASA,Climate,2000,1,1
2000-01-11,TEMPERATURE,22.5,NASA,Climate,2000,1,1
2000-01-12,DROUGHT_SCORE,0.3392432267386432,Derived,Climate,2000,1,1
2000-01-12,RAINFALL,2.75,NASA,Climate,2000,1,1
2000-01-12,TEMPERATURE,22.82,NASA,Climate,2000,1,1
2000-01-13,DROUGHT_SCORE,0.6452961025278837,Derived,Climate,2000,1,1
2000-01-13,RAINFALL,4.06,NASA,Climate,2000,1,1
2000-01-13,TEMPERATURE,23.64,NASA,Climate,2000,1,1
2000-01-14,DROUGHT_SCORE,-0.0999776942413355,Derived,Climate,2000,1,1
2000-01-14,RAINFALL,0.87,NASA,Climate,2000,1,1
2000-01-14,TEMPERATURE,23.09,NASA,Climate,2000,1,1
2000-01-15,DROUGHT_SCORE,-0.2868802138072839,Derived,Climate,2000,1,1
2000-01-15,RAINFALL,0.07,NASA,Climate,2000,1,1
2000-01-15,TEMPERATURE,22.7,NASA,Climate,2000,1,1
2000-01-16,DROUGHT_SCORE,-0.3008979027747301,Derived,Climate,2000,1,1
2000-01-16,RAINFALL,0.01,NASA,Climate,2000,1,1
2000-01-16,TEMPERATURE,22.15,NASA,Climate,2000,1,1
2000-01-17,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-17,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-17,TEMPERATURE,21.97,NASA,Climate,2000,1,1
2000-01-18,DROUGHT_SCORE,-0.1607210131002687,Derived,Climate,2000,1,1
2000-01-18,RAINFALL,0.61,NASA,Climate,2000,1,1
2000-01-18,TEMPERATURE,22.98,NASA,Climate,2000,1,1
2000-01-19,DROUGHT_SCORE,0.0845885438300385,Derived,Climate,2000,1,1
2000-01-19,RAINFALL,1.66,NASA,Climate,2000,1,1
2000-01-19,TEMPERATURE,22.01,NASA,Climate,2000,1,1
2000-01-20,DROUGHT_SCORE,-0.0789511607901663,Derived,Climate,2000,1,1
2000-01-20,RAINFALL,0.96,NASA,Climate,2000,1,1
2000-01-20,TEMPERATURE,22.89,NASA,Climate,2000,1,1
2000-01-21,DROUGHT_SCORE,0.8532251555450014,Derived,Climate,2000,1,1
2000-01-21,RAINFALL,4.95,NASA,Climate,2000,1,1
2000-01-21,TEMPERATURE,23.4,NASA,Climate,2000,1,1
2000-01-22,DROUGHT_SCORE,0.778464147718622,Derived,Climate,2000,1,1
2000-01-22,RAINFALL,4.63,NASA,Climate,2000,1,1
2000-01-22,TEMPERATURE,22.18,NASA,Climate,2000,1,1
2000-01-23,DROUGHT_SCORE,0.0775796993463154,Derived,Climate,2000,1,1
2000-01-23,RAINFALL,1.63,NASA,Climate,2000,1,1
2000-01-23,TEMPERATURE,22.5,NASA,Climate,2000,1,1
2000-01-24,DROUGHT_SCORE,1.1055435569590315,Derived,Climate,2000,1,1
2000-01-24,RAINFALL,6.03,NASA,Climate,2000,1,1
2000-01-24,TEMPERATURE,22.42,NASA,Climate,2000,1,1
2000-01-25,DROUGHT_SCORE,0.1219690477432282,Derived,Climate,2000,1,1
2000-01-25,RAINFALL,1.82,NASA,Climate,2000,1,1
2000-01-25,TEMPERATURE,23.25,NASA,Climate,2000,1,1
2000-01-26,DROUGHT_SCORE,-0.2167917689700533,Derived,Climate,2000,1,1
2000-01-26,RAINFALL,0.37,NASA,Climate,2000,1,1
2000-01-26,TEMPERATURE,23.0,NASA,Climate,2000,1,1
2000-01-27,DROUGHT_SCORE,-0.3008979027747301,Derived,Climate,2000,1,1
2000-01-27,RAINFALL,0.01,NASA,Climate,2000,1,1
2000-01-27,TEMPERATURE,22.39,NASA,Climate,2000,1,1
2000-01-28,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-28,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-28,TEMPERATURE,19.87,NASA,Climate,2000,1,1
2000-01-29,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-29,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-29,TEMPERATURE,21.02,NASA,Climate,2000,1,1
2000-01-30,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-30,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-30,TEMPERATURE,21.31,NASA,Climate,2000,1,1
2000-01-31,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,1,1
2000-01-31,RAINFALL,0.0,NASA,Climate,2000,1,1
2000-01-31,TEMPERATURE,22.95,NASA,Climate,2000,1,1
2000-02-01,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,2,1
2000-02-01,RAINFALL,0.0,NASA,Climate,2000,2,1
2000-02-01,TEMPERATURE,23.66,NASA,Climate,2000,2,1
2000-02-02,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,2,1
2000-02-02,RAINFALL,0.0,NASA,Climate,2000,2,1
2000-02-02,TEMPERATURE,23.89,NASA,Climate,2000,2,1
2000-02-03,DROUGHT_SCORE,-0.293889058291007,Derived,Climate,2000,2,1
2000-02-03,RAINFALL,0.04,NASA,Climate,2000,2,1
2000-02-03,TEMPERATURE,24.63,NASA,Climate,2000,2,1
2000-02-04,DROUGHT_SCORE,-0.2331457394320737,Derived,Climate,2000,2,1
2000-02-04,RAINFALL,0.3,NASA,Climate,2000,2,1
2000-02-04,TEMPERATURE,24.07,NASA,Climate,2000,2,1
2000-02-05,DROUGHT_SCORE,0.600906754130971,Derived,Climate,2000,2,1
2000-02-05,RAINFALL,3.87,NASA,Climate,2000,2,1
